ReE,ImE,rho_pi,rho_gamma,rho_total
-3.0,-2.0,-1.9640384387782276e-7 - 3.8828093210412113e-7im,1.8698761705378389e-6 - 9.457459944638887e-7im,1.673472326660016e-6 - 1.3340269265680098e-6im
-3.0,-1.896551724137931,-1.5771796135773875e-7 - 3.9844391978743676e-7im,1.9057330695841053e-6 - 9.136438839404565e-7im,1.7480151082263666e-6 - 1.3120878037278933e-6im
-3.0,-1.793103448275862,-1.1817019872407045e-7 - 4.054066015910385e-7im,1.941083940233977e-6 - 8.795587485929361e-7im,1.8229137415099063e-6 - 1.2849653501839746e-6im
-3.0,-1.6896551724137931,-7.801498045460288e-8 - 4.090178407536757e-7im,1.9757911995970614e-6 - 8.434546978525583e-7im,1.8977762191424585e-6 - 1.252472538606234e-6im
-3.0,-1.5862068965517242,-3.7533750799544386e-8 - 4.0914627545655745e-7im,2.009708464411037e-6 - 8.053058858823554e-7im,1.9721747136114926e-6 - 1.2144521613389129e-6im
-3.0,-1.4827586206896552,2.965700947113515e-9 - 4.056848854033598e-7im,2.042680044671572e-6 - 7.650987016988055e-7im,2.0456457456186858e-6 - 1.1707835871021652e-6im
-3.0,-1.3793103448275863,4.315141480309641e-8 - 3.985561066915165e-7im,2.0745424839062963e-6 - 7.228331493411803e-7im,2.117693898709393e-6 - 1.1213892560326967e-6im
-3.0,-1.2758620689655173,8.266974490130408e-8 - 3.877164234371285e-7im,2.1051210116287725e-6 - 6.785260320553987e-7im,2.1877907565300766e-6 - 1.0662424554925272e-6im
-3.0,-1.1724137931034482,1.211491036077883e-7 - 3.7316128722777933e-7im,2.13424115227487e-6 - 6.322102476968899e-7im,2.2553902558826583e-6 - 1.0053715349246692e-6im
-3.0,-1.0689655172413792,1.5820468624813317e-7 - 3.5492933963609406e-7im,2.161718224884878e-6 - 5.839388517138497e-7im,2.319922911133011e-6 - 9.388681913499438e-7im
-3.0,-0.9655172413793104,1.9344454542470622e-7 - 3.33106396964161e-7im,2.1873768325974494e-6 - 5.337847958329463e-7im,2.380821378022156e-6 - 8.668911927971073e-7im
-3.0,-0.8620689655172413,2.264754746661278e-7 - 3.078279176415657e-7im,2.2110355007015505e-6 - 4.818417952989199e-7im,2.4375109753676784e-6 - 7.896697129404856e-7im
-3.0,-0.7586206896551724,2.5691127697127067e-7 - 2.792812414954189e-7im,2.2325205793503273e-6 - 4.2822628711041646e-7im,2.489431856321598e-6 - 7.075075286058353e-7im
-3.0,-0.6551724137931034,2.8438042151610734e-7 - 2.477061046708756e-7im,2.251666962406231e-6 - 3.730747437478381e-7im,2.536047383922338e-6 - 6.207808484187136e-7im
-3.0,-0.5517241379310345,3.0853424157134914e-7 - 2.133934264484655e-7im,2.2683198541032997e-6 - 3.1655020689711363e-7im,2.576854095674649e-6 - 5.299436333455792e-7im
-3.0,-0.4482758620689655,3.290561936275795e-7 - 1.7668320125291814e-7im,2.2823398547269204e-6 - 2.5882827902647825e-7im,2.6113960483545e-6 - 4.355114802793964e-7im
-3.0,-0.3448275862068966,3.456699094839694e-7 - 1.379599322915706e-7im,2.2936057409621456e-6 - 2.0010922792951565e-7im,2.639275650446115e-6 - 3.380691602210862e-7im
-3.0,-0.2413793103448276,3.581458953918805e-7 - 9.764717823813349e-8im,2.3020178221037385e-6 - 1.4060514224934516e-7im,2.660163717495619e-6 - 2.3825232048747864e-7im
-3.0,-0.13793103448275862,3.6630903361447925e-7 - 5.619978684701624e-8im,2.3075001196385523e-6 - 8.054286101027629e-8im,2.673809153253032e-6 - 1.3674264785729254e-7im
-3.0,-0.034482758620689655,3.700432695366678e-7 - 1.409582098810395e-8im,2.310002382644998e-6 - 2.0158207613220084e-8im,2.680045652181666e-6 - 3.4254028601324034e-8im
-3.0,0.06896551724137931,3.692952131063071e-7 + 2.8173270565419053e-8im,2.3095014144719497e-6 + 4.0307398225737165e-8im,2.678796627578257e-6 + 6.848066879115622e-8im
-3.0,0.1724137931034483,3.6407538377856764e-7 + 7.011249335191464e-8im,2.306001939046904e-6 + 1.0061122061804747e-7im,2.6700773228254715e-6 + 1.707237139699621e-7im
-3.0,0.27586206896551724,3.5445897786613635e-7 + 1.112338801357425e-7im,2.299535997035209e-6 + 1.6051335120286074e-7im,2.6539949749013452e-6 + 2.717472313386032e-7im
-3.0,0.3793103448275862,3.405815229464004e-7 + 1.510659261324069e-7im,2.2901630463215643e-6 + 2.1978053200142555e-7im,2.6307445692679647e-6 + 3.7084645813383245e-7im
-3.0,0.4827586206896552,3.2263707804621986e-7 + 1.891634738047667e-7im,2.2779669237113823e-6 + 2.7819011835786066e-7im,2.600604001757602e-6 + 4.6735359216262733e-7im
-3.0,0.5862068965517241,3.0087157914166433e-7 + 2.2511516927409662e-7im,2.263054925883339e-6 + 3.3553413081869407e-7im,2.5639265050250036e-6 + 5.606493000927906e-7im
-3.0,0.6896551724137931,2.7557583301804763e-7 + 2.5855068299576757e-7im,2.245554592268146e-6 + 3.916191617766002e-7im,2.5211304252861934e-6 + 6.501698447723678e-7im
-3.0,0.7931034482758621,2.4707767581397717e-7 + 2.89146204558321e-7im,2.225610812421305e-6 + 4.4627584441802337e-7im,2.4726884882352823e-6 + 7.354220489763443e-7im
-3.0,0.896551724137931,2.1573469911479336e-7 + 3.166275523537256e-7im,2.20338253290086e-6 + 4.993479821975033e-7im,2.4191172320156533e-6 + 8.159755345512289e-7im
-3.0,1.0,1.8192401594243253e-7 + 3.4077240379211565e-7im,2.1790370493456808e-6 + 5.507067060198952e-7im,2.3609610652881132e-6 + 8.914791098120109e-7im
-2.896551724137931,-2.0,-2.08688019396577e-7 - 4.280112265820183e-7im,1.9011812689313493e-6 - 9.82801052608614e-7im,1.6924932495347722e-6 - 1.4108122791906323e-6im
-2.896551724137931,-1.896551724137931,-1.6676736108915333e-7 - 4.392422983098925e-7im,1.9390630994768464e-6 - 9.502832996028612e-7im,1.772295738387693e-6 - 1.3895255979127538e-6im
-2.896551724137931,-1.793103448275862,-1.2381071938049274e-7 - 4.4702486506721594e-7im,1.9764866041661664e-6 - 9.156460078887152e-7im,1.8526758847856737e-6 - 1.3626708729559312e-6im
